Customer_ID,Country,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Credit_Score,Monthly_Income,Debt_to_Income_Ratio,Employment_Length_Years,Current_Employment_Status,Number_of_Dependents,Loan_Status,Days_Past_Due,Previous_Loans,Previous_Defaults,Monthly_Payment,Risk_Score
CUST000001,USA,Education,6354.95,12.9,6,593,6867.36,0.287,18.8,Employed,4,Active,0.0,5,0,1195.7897583333333,174.6
CUST000002,India,Education,2672.06,36.96,3,683,558.216,0.176,18.2,Self-Employed,5,Defaulted,96.0,5,0,1219.8844586666667,191.7
CUST000003,USA,Education,6376.66,14.36,24,498,6683.45,0.499,18.9,Employed,2,Late,49.0,3,0,303.847849,124.4
CUST000004,USA,Education,5445.86,31.44,3,725,2537.63,0.454,4.9,Self-Employed,3,Late,68.0,5,0,2386.0127946666667,101.6
CUST000005,India,Emergency,7820.47,20.82,3,608,1734.9660000000001,0.195,2.6,Employed,3,Completed,0.0,2,0,3149.5639513333335,74.3
CUST000006,India,Personal,1159.11,31.0,3,537,442.578,0.283,6.0,Self-Employed,1,Completed,0.0,3,0,506.1447,85.4
CUST000007,USA,Emergency,7634.18,27.44,6,605,3995.61,0.153,17.9,Self-Employed,2,Completed,0.0,1,0,1621.4998320000002,144.7
CUST000008,Nigeria,Emergency,5458.54,30.35,24,776,824.9520000000001,0.414,19.4,Business Owner,2,Completed,0.0,2,0,296.46695375,153.2
CUST000009,USA,Education,9633.62,16.55,3,596,1469.04,0.161,17.2,Employed,5,Defaulted,102.0,2,0,3742.6613700000003,149.5
CUST000010,USA,Business,3484.53,13.95,6,686,3325.14,0.593,2.2,Business Owner,5,Active,0.0,0,0,661.7703225,20.3
CUST000011,USA,Business,6362.96,8.93,12,577,4938.1,0.49,18.9,Business Owner,4,Completed,0.0,1,0,577.5976939999999,113.2
CUST000012,USA,Emergency,9327.08,16.51,12,726,1953.8,0.295,8.5,Employed,3,Completed,0.0,1,1,905.5817423333333,45.6
CUST000013,India,Emergency,1114.85,31.29,3,719,422.64,0.389,0.2,Self-Employed,0,Defaulted,158.0,0,2,487.8955216666666,-66.0
CUST000014,USA,Education,9378.56,34.27,12,835,2847.16,0.556,8.8,Business Owner,5,Completed,0.0,3,0,1049.3827093333332,101.9
CUST000015,Nigeria,Emergency,6910.07,40.39,24,632,1141.3799999999999,0.377,0.9,Employed,1,Completed,0.0,5,0,404.2103030416666,80.0
CUST000016,India,Education,771.59,34.45,12,717,1176.369,0.187,10.9,Self-Employed,1,Active,0.0,5,0,86.45022958333334,157.5
CUST000017,Nigeria,Business,3079.54,38.08,12,660,1916.98,0.289,6.8,Business Owner,1,Late,45.0,5,0,354.35240266666665,121.1
